Year,Albania,Algeria,Antarctica,Antigua And Barbuda,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bangladesh,Belarus,Belgium,Benin,Bermuda,Bolivia,Botswana,Brazil,British Indian Ocean Territory,Bulgaria,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Chile,China,Colombia,Cook Islands,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Djibouti,Dominica,Ecuador,Egypt,Estonia,Ethiopia,Falkland Islands,Finland,France,French Polynesia,French Southern and Antartic Lands,Germany,Ghana,Greece,Greenland,Guatemala,Guinea,Guyana,Heard Island And McDonald Islands,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Japan,Jordan,Kenya,Kiribati,Latvia,Lesotho,Lithuania,Macedonia,Madagascar,Malaysia,Mali,Malta,Mauritania,Mauritius,Mexico,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Norfolk Island,Norway,Pakistan,Peru,Poland,Portugal,Puerto Rico,Romania,Russia,Saint Helena,Saint Lucia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Georgia And The South Sandwich Islands,South Korea,Spain,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Thailand,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States Minor Outlying Islands,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe,(blank)
2008,,2089.5,36208.35294,153.3333333,5868.688367,366.8670869,99.45884038,,,2137.352941,,0.7687,,,,13890,56.32368421,,55.1165562,11.43504,,1368.243595,184,,10797,17609,,,,67.4,142.85609,353.1134238,7600.261099,,,3.450266667,,1018.921211,,,6709.53996,6467.895665,,,2511.688112,1.596939,3040.766949,48.07142857,,,120799,,85,29962.42474,,64,1050,17189.22222,1336.333333,,185.1940269,4947.585125,27.5,,,54.9771405,,,,,,,,,,,,113.3333333,,,,,29056.92575,1945,1845.785714,10,,,,230.2047203,0,286.855,2081.633248,1643.40365,5.8,63.88158278,687.125,1416.14875,,1315.5,160,,,357,219.883277,4,4838.381923,14685.33333,6786.83871,1914.646378,224271,,320.9775495,176.217075,,,,,7240.666667,,718.7333333,34.5,1098.166667,16717.19389,,211,35442.64349,,,,,,,,
2009,,2387.666667,48860.4,46,7085.91188,134.8128349,89.33146013,,,2984.894737,,0.8547,,,,40894.5,11.15,,37.6669858,12.45368667,,1433.140645,193,,2233.75,13976.33333,,,61,90,107.7572783,277.6393654,5350.261887,,,,,227.5490965,,,81.70704295,6225.989767,,,115.6322451,0.739796,3561.024659,,,,,,90,207.178709,,66,,14939.44444,1334.666667,887,225.2110237,4882.0146,2,,,51.811475,,,,,,,,,,29.27777778,,101.875,,244,,,41290.51652,2076,78.30769231,13,,,,37.69403275,,314.24,612.4329164,84.01972,9.714285714,1099.269927,539,4077.59876,,,170,,3.313333333,327,212.2487905,,1585.257,21047.5,8280.470588,259.8523002,,,327.5122576,122.5615857,,,,,3239,,278.0533333,7471,1186.046667,2808.927893,,483,40019.3373,,,,,,,,
2010,,3382.25,51372.52941,459.6666667,70513.5,141.6878166,105.9393279,,,1470.666667,,0.9248,,,,,48.99122807,,75.427537,36.82066875,,1323.094084,486,,5443,14653,,,42,89.8,111.8155743,302.2516431,987.5322634,,,2.907566667,,236.2175493,,,97.17375455,8700.004459,,,98.3335069,,2170.268199,,,,48645,,100,242.543426,,,924.4491525,1210.5,1257,2726,667.2631517,5895.228,16,,1.0524,48.809411,,,50,,,,,,,144.2777778,,176.375,,199,,,35327.75688,,2367.769231,,,,,45.395482,,326.575,295.6527652,544.3333333,9.166666667,69.31199157,,1428.54055,,,,,2.663333333,336,225.1845945,,1766.928,36866,6769.6875,329.7468994,88611,,109.745096,105.7676,,,,,2333.6,,577.1666667,120,2911.892857,3165.980524,,476,75912.48746,,,,,,,,
2011,,930.25,52928.07692,,7095.333333,137.2260739,117.0571047,,,2098.055556,,,,,,,237.7118605,,93.17270833,31.9885625,,1368.470555,1558,,,7571.6,,,,104,122.9132807,88.096664,60.345129,,,0.8941,,237.6115485,,,92.5083537,9962.969023,,,113.2657133,,3370.930472,,,,,,113.5,207.7264335,,,2.900378,18298.11111,3862,1697,297.5211411,5817.392,22,,,52.3890285,,,,,,,,,,132.4210526,,344,,,,,95.76154775,,317,15,,,,44.40783155,,753.77,534.3253103,402,6.333333333,73.91145971,,643.3049333,,,,9891,2.35,597.6842105,214.989651,,1382.7985,,7743.357143,115.5432728,224854,,102.8192917,,,,,,2234,,42,,1745.792857,99.183808,,,71164.64293,,,,,,,,
2012,,,70898.8,,,113.783054,120.4787913,,,464,,,,,,,62.76166667,,71.62673867,11.82208667,,1574.351615,1546,,,2264.5,,,,0,100.4343047,81.025864,61.397205,,,3.5,,258.3611135,,,87.5884842,20076.08244,,,113.8800269,,2917.493824,,,,,,114.5,185.025203,,,5.493051,20404.85714,,1436,179.4547918,12470.25,106,,1.610466667,50.119378,,,,,,,,,,123.75,,396.5,,,,,89.59396975,,5120.153846,,,,,47.82895733,,848.6266667,113.5228801,440,6.166666667,71.14374871,,,,,,5708,2.356666667,285,247.22533,,2943.812,,6598.4,93.15051407,,,52.992647,,,,,,5586,,,,2139.057143,1607.182971,,,74097.17023,,,,,,,,
2013,,,86892,,,166.2481656,105.2235537,,,,,,,,,,111.3833333,,70.92005967,27.78335,,1627.827804,1314,,,1206.5,,,,,119.889174,85.362918,63.916197,,,,,218.7373635,,,96.4149105,10258.73568,,,112.7790429,,80.604461,,,,,,142.5,226.3174505,,,,,,1237,983.3551456,10749,39,,,54.2277405,,,,,,,,,,70.5,,562,,,,,91.887871,,2240.153846,,,,,46.12123467,,405.745,113.3439284,274,,73.52955171,,,,,,,2.423333333,,225.363062,,1092.79,,4410.714286,27.1531043,,,52.13571764,,,,,,6016,,,,3151.725,101.3413049,,,23992.42377,,,,,,,,
2014,,,3194.6,,,116.8862963,112.8060587,,,,,,,,,,151.4,,91.96057967,43.00866875,,7.746975721,1170,,,2633,,,,,103.715536,104.939382,60.017428,,,1.005,,253.6922415,,,87.6068744,9979.280744,,,117.7036104,1.690476,74.895097,,,,,,,223.2659915,,,,,,,175.2978372,,,,,54.8159435,,,,,,,,,,,,,,,,,87.54604725,,13.91666667,15,,,,43.75305067,,,116.9977605,294,,72.07816343,,,,,,,2.016666667,,256.9303795,,1665.11,,,26.90011521,,,52.20443693,,,,,,21656,,,,5477.651667,103.3102175,,,170.6283018,,,,,,,,
2015,,,2833.5,,,146.1782827,121.9652757,,,,,,,,,,21.2875,,80.883058,8.78618,,21.81744533,900,,,,,,,,103.5242383,99.165497,60.493503,,,0.8732,,264.54442,,,91.83636105,8535.526762,,,118.6736361,,77.917013,,,,,,,246.774712,,,,,,,242.172202,,,,,49.609948,,,,,,,,,,,,,,156,,,87.86765925,,,,,,,47.690934,,,113.9135356,7006,,69.55210229,,,,,,,,,227.277292,,,37866,,28.33906487,,,51.78839364,,,,,,,,,,16496.9375,110.399278,,,472.8700889,,,,,,,,
2016,,,,,,156.7277575,111.170476,,,,,,,,,,59.14285714,,87.87863033,7.96986,,,908,,,,,,407,,113.993401,106.2330493,59.100941,,,,,229.5011665,,,91.8420481,12860.42683,,,117.5946251,,65.97046,,,,,,,250.238748,,,,,,,248.6654721,,,,,45.615669,,,,,,,,,,,,,,112,,,86.315715,,,10,,,,46.40193433,,,115.9219245,,,69.68233186,,,,,,,,,240.5090405,,144.6,,,28.74096515,,,64.26354673,,,,,,,,,,34488.83333,116.456049,,,3439,,,,,,,,
2018,,,,,,,115.1120917,,,,,,,,,,,,62.27781433,,,,,,,,,,,,100.332902,81.43082067,61.472569,,,,,277.6530735,,,87.88407065,117.015799,,,115.4354746,,62.43167,,,,,,,228.3621845,,,,,,,167.794238,,,,,40.855182,,,,,,,,,,,,,,,,,80.74013675,,,,,,,45.47457,,,107.396663,,,66.60325914,,,,,,,,,254.423449,,1181.34,,,27.82557797,,,64.79760191,,,,,,,,,,24.335,113.3725923,,,,,,,,,,,
2017,,,,,,56.28208873,124.221416,,,,,,,,,,,,93.40808933,,,77832,1514,,,,,,,,108.504759,91.84308533,62.084233,,,,,295.8489005,,,108.9722748,125.0509569,,,119.5219797,,57.79468,,,,,,,253.7243525,,,,,,,186.17397,,,,,43.7323685,,,,,,,,,,,,,,,,,84.82787975,,,,,,,47.52809,,,122.2309466,,,67.888445,,,,,,,,,243.30943,,225.9,,,29.04531003,,,68.01210491,,,,,,,,,,18.71,115.2396108,,,298,,,,,,,,
2019,,,,,,,114.9025563,,,,,,,,,,,,82.88520733,,,,,,,,,,,,96.770354,88.73434,58.955932,,,,,304.791037,,,86.48142145,128.025769,,,116.9409364,,47.749112,,,,,,,210.3290935,,,,,,,181.2954728,,,,,43.9716365,,,,,,,,,,,,,,,,,80.8511575,,,,,,,45.161908,,,110.7210559,,,66.213187,,,,,,,,,245.6628615,,,,,106.043164,,,66.88517655,,,,,,,,,,,116.6906063,,,,,,,,,,,
