Canada,2584.618224,1663.528511,2923.15463,2232.528179,2840.603208,433.7729939,471.638943,350.706971,504.0022808,715.7655623,746.9293823,478.1308683,440.3321427,475.3350075,640.1868859,647.1251278,671.788371,639.3694603,1180.901379,1112.618431,1185.513646,1299.005678,1536.780846,1679.130692,1281.163158,1080.578319,1555.152005,1016.18421,1163.283569,1335.564139,1277.447922,1516.875424,1469.897628,1368.243595,1433.140645,1323.094084,1368.470555,1574.351615,1627.827804,7.746975721,21.81744533,,,77832,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,133,100,80,57,132,140,159,184,193,486,1558,1546,1314,1170,900,908,,1514,
Cayman Islands,,,,,,,,,330,800,,2950,,,,,400,2000,,400,1019,183.1666667,1280.666667,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,11000,,300,3080,25850,5500,200,400,6506.5,5638.5,3304,0,6802,5612,6795,3505.583333,9522.15625,9404.902778,12286.625,18674.51667,8775.5,17755,21531,13847.14286,15687.8,17297.33333,18846.5,10797,2233.75,5443,,,,,,,,,
China,,,,,,,228.5,207.5,472,671,724.5,905,1100.5,1150.5,1661.666667,36734.33333,1279.666667,1361.5,1039,1408.8,1147.75,25098.14286,3581.5,572,12182.63077,7198.236429,2644.55625,1674.462,4383.415,12294.785,11637.15056,14157.74857,5610.895,17609,13976.33333,14653,7571.6,2264.5,1206.5,2633,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,82,100,147,276,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,21,,,,37.83333333,35.675,28.58,38.995,47.83,56.525,62.14,88.09,111.18,141.47,158.79,176.83,195.6,221.645,255.47,282.88,293.71,282.2,276.45,254.12,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,125,41,68,100,36,77,43,69,,,890.5,,,,61,42,,,,,,407,,,
Croatia,108,298,552.5,201,112,452,545,642,788.5,72,47.33333333,81.83333333,301.4285714,224.1428571,127,126.25,51.83333333,46,172,192,63.33333333,69,78,102.5,76.5,88,144,151.6666667,,141,123.5,103.4,71.8,67.4,90,89.8,104,0,,,,,,,
Cyprus,,,,,,7000,10300,7500,8027,8180,7000,4500,1030,10240,1200,1037.333333,2020,3500,6254,3331,8500,4875,4000,2200,1252.27293,1627.897134,2100.197172,3952.20957,1600.775774,5349.167738,5162.623252,125.6898033,123.945059,142.85609,107.7572783,111.8155743,122.9132807,100.4343047,119.889174,103.715536,103.5242383,113.993401,100.332902,108.504759,96.770354
Czechia,44,40.66666667,43,47.66666667,46,62.75,63.63560075,75.9163075,76.53785663,70.61448888,68.24899288,65.65620557,63.92788663,91.54945233,116.7387653,132.6027702,138.5884203,125.5690904,124.1595846,143.6659786,110.9560887,125.934042,110.8552729,140.1232147,159.6711448,142.9304541,197.2909853,169.9222707,198.2932513,381.8233253,279.8588809,249.7625367,245.6093902,353.1134238,277.6393654,302.2516431,88.096664,81.025864,85.362918,104.939382,99.165497,106.2330493,81.43082067,91.84308533,88.73434
Denmark,32571.51542,45190.01222,43746.89625,247408.4706,190489.1875,85391.17431,131259.5389,106298.9144,114287.9031,101217.8622,65144.75352,93001.1828,58896.32954,64198.72548,68665.44093,52842.75327,78997.7849,74576.82994,79629.65997,78312.02072,71506.64765,80320.11214,72778.87947,20034.35786,20722.2751,22894.95962,24552.65688,19703.95217,3776.381223,4716.520109,5598.600037,5117.505662,8196.153581,7600.261099,5350.261887,987.5322634,60.345129,61.397205,63.916197,60.017428,60.493503,59.100941,61.472569,62.084233,58.955932
Djibouti,,,,5600,,,,,,,1500,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,
Dominica,,,350,,,,,,,,,,,,,350,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,72.5,63,71,53,81.33333333,988.2,227.25,72.66666667,164,367,390.4,349,88,88,491.75,73.5,96,,780.5,12010.33333,1102.5,1636,778.75,265.1666667,1198,740,18031,1487,1351,5.9,4.176733333,0.6791,25.8543,3.450266667,,2.907566667,0.8941,3.5,,1.005,0.8732,,,,
Egypt,,,,,21516.64286,18128.23077,,,,,,1000,,,,6205.5,,,,1362.384615,,,,,,,,,,,,,,,,,,,,,,,,,
